Make,Model,Survival.Index,Damage.Index,Frequency.Score,Risk.Score,Total_Persons
PIPER,PA 44-180,0.5,0.85,5.39894334965871e-05,0.4550161968300489,6.0
PIPER,PA 46,0.9,0.7,0.00013497358374146774,0.2500404920751224,12.0
PIPER,PA 46 350P,0.4,0.78,0.0004248808922143266,0.47412746426766433,26.0
PIPER,PA 46-310P,0.25,0.7749999999999999,0.0001079788669931742,0.532532393660098,9.0
PIPER,PA 46-350P,0.7142857142857143,0.7178571428571427,0.0009107857936836104,0.32991609288096224,67.0
PIPER,PA-11,0.7,0.73,0.0002699471674829355,0.3390809841502449,17.0
PIPER,PA-12,0.6923076923076923,0.6961538461538461,0.001403725270911264,0.3323441945043503,77.0
PIPER,PA-14,0.7708333333333333,0.7,0.0002159577339863484,0.3017314539868626,19.0
PIPER,PA-15,0.5,0.7749999999999999,0.0001079788669931742,0.432532393660098,5.0
PIPER,PA-16,0.8571428571428571,0.7,0.00018896301723805484,0.2671995460480286,11.0
PIPER,PA-18,0.6891891891891891,0.7162162162162162,0.0009988045196868613,0.33948883054509527,56.0
PIPER,PA-18-105 SPECIAL,0.7142857142857143,0.7,0.00018896301723805484,0.3243424031908857,12.0
PIPER,PA-18-135,0.5,0.7157894736842105,0.0005128996182175773,0.41489071199072847,26.0
PIPER,PA-18-150,0.7761194029850746,0.7022388059701492,0.0036172920442713355,0.3013090682102963,191.0
PIPER,PA-18-180,0.875,0.7,0.0001079788669931742,0.26003239366009795,6.0
PIPER,PA-18A,0.35,0.73,0.0002699471674829355,0.4790809841502449,15.0
PIPER,PA-18A 150,1.0,0.7,0.0002429524507346419,0.21007288573522037,11.0
PIPER,PA-20,0.8611111111111112,0.6777777777777777,0.0004859049014692838,0.25903466035932965,30.0
